ID,Category,Sub Category,Tag
1,discrimination,,
2,discrimination,racist language,
3,discrimination,racist language,nigger
4,discrimination,racist language,negro
5,discrimination,racist language,jap
6,discrimination,racist language,coloured
7,discrimination,racist language,monkey
8,discrimination,racist language,paki
9,discrimination,racist language,cracker
10,discrimination,racist language,yid
11,discrimination,racist language,kike
12,discrimination,racist language,chink
13,discrimination,racist language,darkie
14,discrimination,racist language,jungle bunny
15,discrimination,racist language,slant-eye
16,discrimination,racist language,spook
17,discrimination,racist language,pikey
18,discrimination,racist language,gypo
19,discrimination,racist language,wog
20,discrimination,discriminatory language,
21,discrimination,discriminatory language,homo
22,discrimination,discriminatory language,gaylord
23,discrimination,discriminatory language,fairy
24,discrimination,discriminatory language,faggot
25,discrimination,discriminatory language,dyke
26,discrimination,discriminatory language,tranny
27,discrimination,discriminatory language,queer
28,discrimination,discriminatory language,bender
29,discrimination,discriminatory language,batty boy
30,discrimination,discriminatory language,fag hag
31,discrimination,discriminatory language,pansy
32,discrimination,discriminatory language,poof
33,discrimination,discriminatory language,poofter
34,discrimination,discriminatory language,rug muncher
35,discrimination,discriminatory language,queen
36,discrimination,discriminatory language,shirtlifter
37,discrimination,discriminatory language,fag
38,discrimination,discriminatory language,nancy
39,discrimination,discriminatory language,fruit
40,discrimination,discriminatory language,muff diver
41,discrimination,discriminatory language,mong
42,discrimination,discriminatory language,retard
43,discrimination,discriminatory language,tard
44,discrimination,discriminatory language,spaz
45,discrimination,discriminatory language,spastic
46,language,,
47,language,very mild bad language,
48,language,very mild bad language,jerk
49,language,very mild bad language,damn
50,language,very mild bad language,God
51,language,very mild bad language,hell
52,language,very mild bad language,Jesus
53,language,very mild bad language,Christ
54,language,very mild bad language,butt
55,language,very mild bad language,freakin
56,language,very mild bad language,screw
57,language,mild bad language,
58,language,mild bad language,arse
59,language,mild bad language,arsehole
60,language,mild bad language,shit
61,language,mild bad language,bullshit
62,language,mild bad language,bugger
63,language,mild bad language,bloody
64,language,mild bad language,bloody hell
65,language,mild bad language,crap
66,language,mild bad language,dick
67,language,mild bad language,dickhead
68,language,mild bad language,piss
69,language,mild bad language,bollocks
70,language,mild bad language,git
71,language,mild bad language,sod
72,language,mild bad language,bastard
73,language,mild bad language,son of a bitch
74,language,mild bad language,tart
75,language,mild bad language,bitch
76,language,mild bad language,slag
77,language,mild bad language,slut
78,language,mild bad language,whore
79,language,mild bad language,screw
80,language,mild bad language,frig
81,language,mild bad language,knob
82,language,mild bad language,tosser
83,language,mild bad language,ass
84,language,mild bad language,asshole
85,language,mild bad language,saala
86,language,moderate bad language,
87,language,moderate bad language,prick
88,language,moderate bad language,twat
89,language,moderate bad language,wanker
90,language,moderate bad language,bitch
91,language,moderate bad language,slut
92,language,moderate bad language,slag
93,language,moderate bad language,whore
94,language,moderate bad language,feck
95,language,moderate bad language,lund
96,language,moderate bad language,chutiya
97,language,moderate bad language,choot
98,language,strong language,
99,language,strong language,fuck
100,language,strong language,cocksucker
101,language,strong language,motherfucker
102,language,strong language,bumbaclot
103,language,strong language,bloodclaat
104,language,strong language,rasclat
105,language,strong language,behenchod
106,language,strong language,chod
107,language,strong language,chodna
108,language,strong language,maderchod
109,language,very strong language,
110,language,very strong language,cunt
111,language,very strong language,phuddi
112,language,rude gesture,
113,language,rude gesture,middle finger
114,language,rude gesture,V sign
115,language,rude gesture,wanker gesture
116,language,rude gesture,blow job gesture
117,language,rude gesture,cunnilingus gesture
